"sim_id","n_events","loss"
1168,7,5224.52819905036
1169,0,0
1170,15,1152.99348897293
1171,5,16.5792830122964
1172,4,10.1745865927532
1173,6,21.7629003915328
1174,0,0
1175,4,27.566902532514
1176,0,0
1177,0,0
1178,0,0
1179,8,1987.83287354928
1180,7,224.242515520408
1181,1,14.4757706710228
1182,2,173.948192252826
1183,3,58804.5317602352
1184,8,1808.12292900256
1185,0,0
1186,0,0
1187,6,702.338524732302
1188,9,56.020282014458
1189,15,6102.08290764924
1190,3,1825.80917326525
1191,0,0
1192,1,2.85294783385654
1193,0,0
1194,0,0
1195,0,0
1196,3,284.664528510097
1197,12,127.68166830797
1198,4,67.3275615297245
1199,0,0
1200,5,36.9932081852874
1201,1,33916.8971723644
1202,0,0
1203,0,0
1204,9,966.988415320403
1205,3,0.167532023149631
1206,0,0
1207,5,1350.58287806328
1208,6,528.792583359331
1209,1,545.988603800378
1210,2,316.785994826804
1211,6,305.521635839315
1212,1,2659.6615134584
1213,0,0
1214,3,43.5287443633759
1215,0,0
1216,0,0
1217,0,0
1218,1,482.357533149633
1219,5,2.90554847283735
1220,0,0
1221,11,113.022971434804
1222,8,255.213684285565
1223,9,15621.416102144
1224,5,50.0042550000469
1225,0,0
1226,0,0
1227,9,28802.7067889847
1228,0,0
1229,9,2255.48887414412
1230,0,0
1231,1,82.1815643724555
1232,6,1700.61796487065
1233,0,0
1234,9,2875.75581273629
1235,5,314.014793832935
1236,15,3675.49840817421
1237,0,0
1238,8,152.134372783164
1239,8,604.244717884111
1240,0,0
1241,0,0
1242,3,5.66065806393079
1243,0,0
1244,2,42.0664882405613
1245,11,128.430922095287
1246,7,816.057328118397
1247,3,0.219778553034798
1248,10,3059.59476585722
1249,0,0
1250,0,0
1251,0,0
1252,6,90.4053881110855
1253,6,93.9137366052338
1254,10,3851.69894672328
1255,7,1549.3256534479
1256,4,454.177160243089
1257,0,0
1258,3,5.36974110154206
1259,0,0
1260,6,279.374665586358
1261,0,0
1262,0,0
1263,0,0
1264,0,0
1265,11,320.635715665891
1266,7,167.754418361452
1267,7,2199.14457283033
1268,0,0
1269,2,15.7139238930424
1270,7,1413.03252741852
1271,3,853.691819945551
1272,0,0
1273,0,0
1274,1,0.0571220730354856
1275,7,670.454130259481
1276,4,14221.000914639
1277,1,14.6110989996209
1278,7,259.045649898262
1279,0,0
1280,5,248.683655192137
1281,1,65.2096009005387
1282,9,512.743719243173
1283,9,131.80635080299
1284,4,29.7829275101188
1285,0,0
1286,4,41.8815329143539
1287,4,12901.9689512046
1288,10,165.691200944792
1289,5,704.704806393783
1290,0,0
1291,0,0
1292,0,0
1293,0,0
1294,3,0.25691659814962
1295,1,383.578411515697
1296,3,561.423972884145
1297,4,17.3886702598164
1298,0,0
1299,9,8191.50100058608
1300,11,203.394943029128
1301,2,200.236717799273
1302,13,719.695339136389
1303,0,0
1304,0,0
1305,0,0
1306,5,366.651698226076
1307,2,6214.08383272028
1308,10,1765.20873500947
1309,0,0
1310,0,0
1311,4,76.2922969824727
1312,7,393.471332796874
1313,0,0
1314,0,0
1315,0,0
1316,1,27.6281382742629
1317,1,762.017841373213
1318,0,0
1319,0,0
1320,16,2191.45521442594
1321,15,264.129135196141
1322,0,0
1323,6,20.8243573055536
1324,3,265.102967157192
1325,5,311.103382615291
1326,0,0
1327,0,0
1328,5,1396.36172606453
1329,3,438.113157473297
1330,7,46.4010157908791
1331,3,13675.1820518803
1332,0,0
1333,10,2002.00719648981
1334,0,0
1335,4,91.7138723045186
1336,0,0
1337,0,0
1338,0,0
1339,0,0
1340,8,71.6299455522599
1341,10,292.471056470427
1342,0,0
1343,0,0
1344,7,243.025783363912
1345,3,2.13566268215534
1346,8,534.017836133067
1347,0,0
1348,0,0
1349,10,202.17860188457
1350,11,753.529980926096
1351,10,1280.32641029243
1352,6,1.7275806303987
1353,6,9.62642740936333
1354,8,259.007086672564
1355,11,1410.31101133716
1356,0,0
1357,0,0
1358,2,5.69523047249397
1359,5,155.267850812321
1360,6,16.1146827147625
1361,3,0.690815875328656
1362,10,1673.88932700384
1363,0,0
1364,3,4400.70292153628
1365,0,0
1366,13,7526.66953547151
